fold,probe_id
2,220364_at
2,220396_at
2,220493_at
2,220495_s_at
2,220503_at
2,220507_s_at
2,220523_at
2,220527_at
2,220576_at
2,220695_at
2,220760_x_at
2,220769_s_at
2,220784_s_at
2,220811_at
2,220830_at
2,220837_at
2,220882_at
2,220884_at
2,220889_s_at
2,220896_at
2,220898_at
2,220907_at
2,220955_x_at
2,221051_s_at
2,221068_at
2,221111_at
2,221144_at
2,221150_at
2,221177_at
2,221178_at
2,221186_at
2,221202_at
2,221237_s_at
2,221239_s_at
2,221260_s_at
2,221264_s_at
2,221285_at
2,221363_x_at
2,221383_at
2,221384_at
2,221424_s_at
2,221441_at
2,221452_s_at
2,221524_s_at
2,221650_s_at
2,221677_s_at
2,221679_s_at
2,221825_at
2,221828_s_at
2,221851_at
2,221968_s_at
2,221973_at
2,222014_x_at
2,222025_s_at
2,222052_at
2,222096_x_at
2,222105_s_at
2,222115_x_at
2,222177_s_at
2,222197_s_at
2,222228_s_at
2,222234_s_at
2,222256_s_at
2,222312_s_at
2,222332_at
2,33304_at
2,36742_at
2,47069_at
2,47553_at
2,52837_at
2,55692_at
2,56821_at
2,59644_at
2,60084_at
2,64488_at
2,64900_at
2,89948_at
2,AFFX-r2-Bs-dap-3_at
2,AFFX-r2-Bs-lys-3_at
2,AFFX-r2-Bs-thr-M_s_at
3,200011_s_at
3,200737_at
3,201663_s_at
3,202204_s_at
3,202703_at
3,203001_s_at
3,203303_at
3,203447_at
3,203456_at
3,203778_at
3,204001_at
3,204012_s_at
3,204400_at
3,204544_at
3,204568_at
3,204775_at
3,205042_at
3,205163_at
3,205347_s_at
3,205379_at
3,206373_at
3,206459_s_at
3,206487_at
3,206695_x_at
3,207168_s_at
3,207707_s_at
3,208030_s_at
3,208642_s_at
3,208711_s_at
3,208807_s_at
3,208854_s_at
3,208926_at
3,209644_x_at
3,209686_at
3,209838_at
3,210029_at
3,210084_x_at
3,210107_at
3,210771_at
3,211620_x_at
3,212220_at
3,212315_s_at
3,212431_at
3,212586_at
3,212682_s_at
3,212711_at
3,213233_s_at
3,214231_s_at
3,214279_s_at
